receptor,ligand,n_db,m_r_lfc,m_r_padj,m_l_lfc,m_l_padj,m_strict,m_relaxed,h_r_lfc,h_r_padj,h_l_lfc,h_l_padj,h_strict,h_relaxed,conservation
EPHA7,AFDN,4,31.9646,0.0,-6.3498,2.295930398484685e-110,yes,yes,0.3969,1.0,-0.439,1.340369778535819e-15,trend,yes,CONSERVED_relaxed
EPHB2,AFDN,4,10.117,7.016598977006612e-151,-6.3498,2.295930398484685e-110,yes,yes,0.5655,0.1389728477829799,-0.439,1.340369778535819e-15,trend,yes,CONSERVED_relaxed
EPHB3,AFDN,4,11.2477,2.0608860973678798e-228,-6.3498,2.295930398484685e-110,yes,yes,0.2887,1.0,-0.439,1.340369778535819e-15,trend,yes,CONSERVED_relaxed
EPHB6,AFDN,4,6.092,4.876176070134938e-66,-6.3498,2.295930398484685e-110,yes,yes,0.4746,6.672226404826627e-06,-0.439,1.340369778535819e-15,yes,yes,CONSERVED_strict
NECTIN3,AFDN,4,19.3375,0.0,-6.3498,2.295930398484685e-110,yes,yes,0.2372,0.175360077564137,-0.439,1.340369778535819e-15,trend,yes,CONSERVED_relaxed
NECTIN4,AFDN,4,0.2899,0.9999344575108172,-6.3498,2.295930398484685e-110,trend,yes,1.5088,1.0,-0.439,1.340369778535819e-15,trend,yes,CONSERVED_relaxed
SDC3,AGRP,4,28.9004,0.0,-0.3567,0.5800455900635991,trend,yes,0.9631,0.9785026698503438,-17.5178,1.0,trend,yes,CONSERVED_relaxed
ACVR1,AMH,4,21.9604,0.0,-1.2809,0.9999344575108172,trend,yes,0.0998,1.0,-1.0318,1.0,trend,yes,CONSERVED_relaxed
DYSF,ANXA1,4,7.9157,1.0734847221473817e-152,-68.3941,3.6858929502308633e-44,yes,yes,0.1832,1.0,-0.6591,5.524547778335654e-10,trend,yes,CONSERVED_relaxed
ACVR1,BMP6,4,21.9604,0.0,-20.7313,3.4077937903842886e-20,yes,yes,0.0998,1.0,-0.463,1.0,trend,yes,CONSERVED_relaxed
BMPR2,BMP6,4,15.1217,0.0,-20.7313,3.4077937903842886e-20,yes,yes,0.029,1.0,-0.463,1.0,trend,yes,CONSERVED_relaxed
ERBB2,BTC,4,1.3468,5.271955588076474e-42,-1.9016,0.706331046233259,trend,yes,0.3404,0.3745758113382256,-0.4203,1.0,trend,yes,CONSERVED_relaxed
ITGA5,CCN1,4,17.4686,8.270553119411679e-238,-156.3676,1.3397951598724683e-235,yes,yes,0.3136,1.0,-0.8004,0.000373391905213,trend,yes,CONSERVED_relaxed
ITGAV,CCN1,4,50.4759,0.0,-156.3676,1.3397951598724683e-235,yes,yes,0.1033,1.0,-0.8004,0.000373391905213,trend,yes,CONSERVED_relaxed
ITGB3,CCN1,4,4.5739,4.016441041116983e-40,-156.3676,1.3397951598724683e-235,yes,yes,0.295,1.0,-0.8004,0.000373391905213,trend,yes,CONSERVED_relaxed
ITGB1,CD14,4,334.4704,0.0,-10.2295,9.33005481645319e-11,yes,yes,0.4347,3.774832503484081e-07,-0.3121,1.0,trend,yes,CONSERVED_relaxed
PTPRF,CDH1,3,18.6807,0.0,-2.4082,0.8564981785505362,trend,yes,0.2102,0.0190693490323633,-1.2691,1.0,trend,yes,CONSERVED_relaxed
PTPRM,CDH1,4,2.6179,7.1385132770763765e-115,-2.4082,0.8564981785505362,trend,yes,0.2644,0.0290649669966245,-1.2691,1.0,trend,yes,CONSERVED_relaxed
IL6ST,CNTF,4,5.9256,5.237849615188787e-175,-0.3083,0.9999344575108172,trend,yes,0.3514,1.1176301121782341e-07,-20.4119,1.0,trend,yes,CONSERVED_relaxed
CCR6,DEFB1,4,0.2418,0.9999344575108172,-5.6743,0.9999344575108172,trend,yes,0.9048,1.0,-17.3654,1.0,trend,yes,CONSERVED_relaxed
LRP5,DKK1,5,1.9367,3.6244646582270682e-109,-0.0408,0.9999344575108172,trend,yes,0.4678,0.3783663103950592,-1.6275,1.0,trend,yes,CONSERVED_relaxed
LRP6,DKK1,5,12.8705,0.0,-0.0408,0.9999344575108172,trend,yes,0.1581,0.8107383351178986,-1.6275,1.0,trend,yes,CONSERVED_relaxed
