receptor,ligand,n_db,m_r_lfc,m_r_padj,m_l_lfc,m_l_padj,m_strict,m_relaxed,h_r_lfc,h_r_padj,h_l_lfc,h_l_padj,h_strict,h_relaxed,conservation
CD46,2,4,-0.2175,0.06816970616881,,,no_data,no_data,0.0935,1.0,,,no_data,no_data,neither
CR1,2,4,,,,,no_data,no_data,1.0482,1.0,,,no_data,no_data,neither
LRP1,A2M,4,-169.3567,0.0,2.8385,0.1308949205105171,no,no,0.9567,1.6789085456172686e-28,0.4163,0.0385151820618917,no,no,neither
MTNR1A,AANAT,4,6.8058,0.0002077081737489,21.5663,0.9999344575108172,no,no,1.038,1.0,1.0671,1.0,no,no,neither
MTNR1B,AANAT,4,,,21.5663,0.9999344575108172,no_data,no_data,-15.3835,1.0,1.0671,1.0,no,no,neither
AGTR2,ACE,3,0.0691,0.9999344575108172,-150.1064,0.0,trend,yes,3.1456,1.0,0.7456,1.0,no,no,mouse_only
BDKRB2,ACE,4,-1.7128,0.9999344575108172,-150.1064,0.0,no,no,-0.485,1.0,0.7456,1.0,no,no,neither
AXL,ADAM10,3,-250.8705,0.0,15.7999,0.0,no,no,0.2969,0.9088305407882024,0.391,1.1579545996270567e-06,no,no,neither
EPHA3,ADAM10,4,5.3398,2.4840546873111232e-42,15.7999,0.0,no,no,0.218,1.0,0.391,1.1579545996270567e-06,no,no,neither
ITGA9,ADAM12,4,11.9974,2.6565569117446117e-274,47.2677,0.0,no,no,0.0215,1.0,1.2231,1.0,no,no,neither
ITGB1,ADAM12,4,334.4704,0.0,47.2677,0.0,no,no,0.4347,3.774832503484081e-07,1.2231,1.0,no,no,neither
SDC4,ADAM12,4,-41.4204,4.156289274478787e-26,47.2677,0.0,no,no,0.6729,0.0003309302353757,1.2231,1.0,no,no,neither
ITGA5,ADAM15,4,17.4686,8.270553119411679e-238,-6.4691,3.0697509065815005e-157,yes,yes,0.3136,1.0,0.5689,0.0677632816435985,no,no,mouse_only
ITGA9,ADAM15,4,11.9974,2.6565569117446117e-274,-6.4691,3.0697509065815005e-157,yes,yes,0.0215,1.0,0.5689,0.0677632816435985,no,no,mouse_only
ITGAV,ADAM15,4,50.4759,0.0,-6.4691,3.0697509065815005e-157,yes,yes,0.1033,1.0,0.5689,0.0677632816435985,no,no,mouse_only
ITGB1,ADAM15,4,334.4704,0.0,-6.4691,3.0697509065815005e-157,yes,yes,0.4347,3.774832503484081e-07,0.5689,0.0677632816435985,no,no,mouse_only
ITGB3,ADAM15,4,4.5739,4.016441041116983e-40,-6.4691,3.0697509065815005e-157,yes,yes,0.295,1.0,0.5689,0.0677632816435985,no,no,mouse_only
ERBB4,ADAM17,3,-1.8561,0.9999344575108172,0.937,5.132070491617053e-142,no,no,-0.0342,0.1445471920686773,0.0348,1.0,no,no,neither
ITGA5,ADAM17,4,17.4686,8.270553119411679e-238,0.937,5.132070491617053e-142,no,no,0.3136,1.0,0.0348,1.0,no,no,neither
ITGB1,ADAM17,4,334.4704,0.0,0.937,5.132070491617053e-142,no,no,0.4347,3.774832503484081e-07,0.0348,1.0,no,no,neither
NOTCH1,ADAM17,4,4.3951,2.465241393848366e-183,0.937,5.132070491617053e-142,no,no,0.7993,0.6606492981719543,0.0348,1.0,no,no,neither
CD9,ADAM2,3,,,1.6024,0.9999344575108172,no_data,no_data,0.165,0.4469831451468212,1.2109,1.0,no,no,neither
ITGA6,ADAM2,4,-34.2838,7.221185787132491e-38,1.6024,0.9999344575108172,no,no,0.1204,1.0,1.2109,1.0,no,no,neither
